x(m)                     y(m)                     z(m)                     Txx(nT/m)                Tyx(nT/m)                Tzx(nT/m)                Txy(nT/m)                Tyy(nT/m)                Tzy(nT/m)                Txz(nT/m)                Tyz(nT/m)                Tzz(nT/m)                
39531700.0000000         3435000.0000000          100.0000000              -3.85080945764737e-02    -7.83417807841554e-02    6.67849238346184e-02     -7.83417807841554e-02    3.40260638370041e-02     8.08139619839058e-03     6.67849238346184e-02     8.08139619839058e-03     4.48203074084858e-03     
39531800.0000000         3435000.0000000          100.0000000              -3.33879786816045e-02    -9.41848089154029e-02    8.31256081393259e-02     -9.41848089154029e-02    3.00536141165702e-02     2.49501967273160e-02     8.31256081393259e-02     2.49501967273160e-02     3.33436456331944e-03     
39531900.0000000         3435000.0000000          100.0000000              -1.98055552361249e-02    -1.09470222269087e-01    1.02072325877346e-01     -1.09470222269087e-01    2.49232599735865e-02     4.72017904132787e-02     1.02072325877346e-01     4.72017904132787e-02     -5.11770473668083e-03    
39532000.0000000         3435000.0000000          100.0000000              5.63555531068668e-03     -1.22947690051421e-01    1.16094528381132e-01     -1.22947690051421e-01    1.73032996109709e-02     7.44333485512500e-02     1.16094528381132e-01     7.44333485512500e-02     -2.29388549213598e-02    
39532100.0000000         3435000.0000000          100.0000000              3.38278900619776e-02     -1.32352932280521e-01    1.20418361427050e-01     -1.32352932280521e-01    1.97092424378670e-03     1.09478733849591e-01     1.20418361427050e-01     1.09478733849591e-01     -3.57988143066994e-02    
39532200.0000000         3435000.0000000          100.0000000              6.65053922849268e-02     -1.31699399847224e-01    1.22750196323888e-01     -1.31699399847224e-01    -1.58324999733434e-02    1.47152549657571e-01     1.22750196323888e-01     1.47152549657571e-01     -5.06728923116091e-02    
39532300.0000000         3435000.0000000          100.0000000              1.02998930852178e-01     -1.22394985205796e-01    1.16623165768419e-01     -1.22394985205796e-01    -3.24996496319948e-02    1.82935846643831e-01     1.16623165768419e-01     1.82935846643831e-01     -7.04992812181307e-02    
39532400.0000000         3435000.0000000          100.0000000              1.38059967040471e-01     -1.05029996855682e-01    9.90832205055088e-02     -1.05029996855682e-01    -4.85556119848815e-02    2.14021061054216e-01     9.90832205055088e-02     2.14021061054216e-01     -8.95043550551100e-02    
39532500.0000000         3435000.0000000          100.0000000              1.66910477567988e-01     -7.98455330451866e-02    7.26337692508618e-02     -7.98455330451866e-02    -6.30375418707683e-02    2.39402372749198e-01     7.26337692508618e-02     2.39402372749198e-01     -1.03872935698187e-01    
39532600.0000000         3435000.0000000          100.0000000              1.85625524390317e-01     -4.66727052590952e-02    3.75639422247370e-02     -4.66727052590952e-02    -7.37300425324481e-02    2.55281685413288e-01     3.75639422247370e-02     2.55281685413288e-01     -1.11895481854438e-01    
