x(m)                     y(m)                     z(m)                     Magnetic_Potential       Magnetic_x(nT)           Magnetic_y(nT)           Magnetic_z(nT)           
39533000.0000000         3434900.0000000          100.0000000              5.92983273278037e-03     2.01626373074624e+01     -1.27619484912642e+02    6.66954673607795e+02     
39533100.0000000         3434900.0000000          100.0000000              5.92724147263905e-03     3.14103995650839e+01     -1.21470019569678e+02    6.61624591777848e+02     
39533200.0000000         3434900.0000000          100.0000000              5.92360731021467e-03     4.09583573430884e+01     -1.14059029552387e+02    6.55149583916867e+02     
39533300.0000000         3434900.0000000          100.0000000              5.91912034045332e-03     4.84189011746958e+01     -1.05678421778651e+02    6.47841904181856e+02     
39533400.0000000         3434900.0000000          100.0000000              5.91399468478123e-03     5.37233867031728e+01     -9.67296214611995e+01    6.40124212633762e+02     
39533500.0000000         3434900.0000000          100.0000000              5.90845014286560e-03     5.68101236292517e+01     -8.76877666297150e+01    6.32424375338339e+02     
39533600.0000000         3434900.0000000          100.0000000              5.90269959076504e-03     5.78978566570440e+01     -7.90285805037320e+01    6.25272119129785e+02     
39533700.0000000         3434900.0000000          100.0000000              5.89691954601352e-03     5.75060432379664e+01     -7.11280520059857e+01    6.19093172615754e+02     
39533800.0000000         3434900.0000000          100.0000000              5.89123035637565e-03     5.61557428928413e+01     -6.41380885273778e+01    6.13984669915350e+02     
39533900.0000000         3434900.0000000          100.0000000              5.88570436616905e-03     5.43294985956892e+01     -5.80853648349403e+01    6.09999012510185e+02     
39534000.0000000         3434900.0000000          100.0000000              5.88036811377764e-03     5.23830874211490e+01     -5.28739217438355e+01    6.06928195573750e+02     
39534100.0000000         3434900.0000000          100.0000000              5.87522629961145e-03     5.04826390996366e+01     -4.84306878516842e+01    6.04688409227391e+02     
39534200.0000000         3434900.0000000          100.0000000              5.87026355574375e-03     4.88150450570802e+01     -4.47121471345869e+01    6.03138566874763e+02     
39534300.0000000         3434900.0000000          100.0000000              5.86545380219382e-03     4.74367822206596e+01     -4.16622154053630e+01    6.02168507989372e+02     
39534400.0000000         3434900.0000000          100.0000000              5.86076341969639e-03     4.64425045782865e+01     -3.92436904626158e+01    6.01678474267300e+02     
39534500.0000000         3434900.0000000          100.0000000              5.85615292728253e-03     4.58141740276000e+01     -3.73806172855495e+01    6.01478982157323e+02     
39534600.0000000         3434900.0000000          100.0000000              5.85158971894312e-03     4.55128592955959e+01     -3.59520254103554e+01    6.01575878820284e+02     
39534700.0000000         3434900.0000000          100.0000000              5.84703969316655e-03     4.55330026166188e+01     -3.48890359192860e+01    6.01855598049458e+02     
39534800.0000000         3434900.0000000          100.0000000              5.84247416868843e-03     4.58157571279349e+01     -3.41208853730473e+01    6.02281301241372e+02     
39534900.0000000         3434900.0000000          100.0000000              5.83786999973069e-03     4.63056732298681e+01     -3.35645908195925e+01    6.02870913467566e+02     
39535000.0000000         3434900.0000000          100.0000000              5.83320367118281e-03     4.70717069920667e+01     -3.31409049358132e+01    6.03644064987907e+02     
39531000.0000000         3435000.0000000          100.0000000              5.80423745620587e-03     -7.18967511671554e+01    -1.77727349630024e+01    5.84503109771876e+02     
39531100.0000000         3435000.0000000          100.0000000              5.81153687880403e-03     -7.41712896148299e+01    -1.91094048801869e+01    5.85583251317167e+02     
39531200.0000000         3435000.0000000          100.0000000              5.81908354347909e-03     -7.68127239728019e+01    -2.09553095118131e+01    5.87234168208481e+02     
39531300.0000000         3435000.0000000          100.0000000              5.82690932987719e-03     -7.97550187496374e+01    -2.34644130600853e+01    5.89420726521812e+02     
39531400.0000000         3435000.0000000          100.0000000              5.83504867855984e-03     -8.31142918587017e+01    -2.68274804605996e+01    5.92167723528687e+02     
39531500.0000000         3435000.0000000          100.0000000              5.84354835945705e-03     -8.69539494509064e+01    -3.12276509095522e+01    5.95769712620045e+02     
39531600.0000000         3435000.0000000          100.0000000              5.85244619363342e-03     -9.09957448689801e+01    -3.68637783358408e+01    6.00570197697978e+02     
39531700.0000000         3435000.0000000          100.0000000              5.86174444949662e-03     -9.49439900173630e+01    -4.39364586367378e+01    6.06581007910218e+02     
39531800.0000000         3435000.0000000          100.0000000              5.87142486611073e-03     -9.85808220459955e+01    -5.25597559878838e+01    6.14038320858535e+02     
39531900.0000000         3435000.0000000          100.0000000              5.88143135630745e-03     -1.01322388336695e+02    -6.27551736393435e+01    6.23303317847291e+02     
39532000.0000000         3435000.0000000          100.0000000              5.89162562788650e-03     -1.02134776963038e+02    -7.43888152781259e+01    6.34320417700849e+02     
39532100.0000000         3435000.0000000          100.0000000              5.90176389132926e-03     -1.00165454977518e+02    -8.72244248399368e+01    6.46148018921831e+02     
39532200.0000000         3435000.0000000          100.0000000              5.91155964016248e-03     -9.52039620521185e+01    -1.00500140064018e+02    6.58354607457995e+02     
39532300.0000000         3435000.0000000          100.0000000              5.92068770734828e-03     -8.67496665262839e+01    -1.13284046986144e+02    6.70405745427992e+02     
39532400.0000000         3435000.0000000          100.0000000              5.92878698082610e-03     -7.46518869678179e+01    -1.24720311984845e+02    6.81271343946709e+02     
39532500.0000000         3435000.0000000          100.0000000              5.93551072485383e-03     -5.93423465358669e+01    -1.34024306023528e+02    6.89921428071498e+02     
39532600.0000000         3435000.0000000          100.0000000              5.94057305932185e-03     -4.15879853829285e+01    -1.40420714884221e+02    6.95505109905102e+02     
39532700.0000000         3435000.0000000          100.0000000              5.94379483355169e-03     -2.28257268664279e+01    -1.43286713983053e+02    6.97389733265740e+02     
39532800.0000000         3435000.0000000          100.0000000              5.94516312696938e-03     -4.78436096794902e+00    -1.42774537255078e+02    6.95854106666767e+02     
39532900.0000000         3435000.0000000          100.0000000              5.94481012298826e-03     1.15237491033197e+01     -1.39385272631089e+02    6.91942168487134e+02     
39533000.0000000         3435000.0000000          100.0000000              5.94291850888559e-03     2.60393809149577e+01     -1.33862688703471e+02    6.86408140035124e+02     
39533100.0000000         3435000.0000000          100.0000000              5.93965774720166e-03     3.88603661502835e+01     -1.26626773544829e+02    6.79284661512858e+02     
39533200.0000000         3435000.0000000          100.0000000              5.93521586450974e-03     4.96094801981746e+01     -1.17875262357885e+02    6.70777672732467e+02     
39533300.0000000         3435000.0000000          100.0000000              5.92981854814116e-03     5.78925574031429e+01     -1.08034553269135e+02    6.61181212198842e+02     
39533400.0000000         3435000.0000000          100.0000000              5.92372760648107e-03     6.34611444915979e+01     -9.76613928451254e+01    6.51020903702436e+02     
39533500.0000000         3435000.0000000          100.0000000              5.91721786883431e-03     6.62895601450349e+01     -8.74093379044994e+01    6.40901389762398e+02     
39533600.0000000         3435000.0000000          100.0000000              5.91055221512939e-03     6.66626172935258e+01     -7.77855829448691e+01    6.31562617630719e+02     
39533700.0000000         3435000.0000000          100.0000000              5.90394370137244e-03     6.52803450375128e+01     -6.91448177179635e+01    6.23572070142125e+02     
39533800.0000000         3435000.0000000          100.0000000              5.89753028275312e-03     6.28713572832208e+01     -6.16767633687725e+01    6.17079279410244e+02     
39533900.0000000         3435000.0000000          100.0000000              5.89138154640143e-03     6.00849809739756e+01     -5.53101703180758e+01    6.12004964853314e+02     
39534000.0000000         3435000.0000000          100.0000000              5.88551460365438e-03     5.72545596318477e+01     -4.99472169141368e+01    6.08048958239087e+02     
39534100.0000000         3435000.0000000          100.0000000              5.87992610644051e-03     5.45596652549029e+01     -4.54821354978693e+01    6.05117184164685e+02     
39534200.0000000         3435000.0000000          100.0000000              5.87459273880228e-03     5.21614449282819e+01     -4.18175768303347e+01    6.03020644112965e+02     
39534300.0000000         3435000.0000000          100.0000000              5.86948155569530e-03     5.01294241267538e+01     -3.88668242520248e+01    6.01641909135008e+02     
39534400.0000000         3435000.0000000          100.0000000              5.86455275973080e-03     4.85219852205924e+01     -3.65466961216627e+01    6.00876752874016e+02     
39534500.0000000         3435000.0000000          100.0000000              5.85976086993575e-03     4.73980023197444e+01     -3.47888171180077e+01    6.00609775437425e+02     
39534600.0000000         3435000.0000000          100.0000000              5.85505822925868e-03     4.67220645836076e+01     -3.34334174689696e+01    6.00671103113290e+02     
39534700.0000000         3435000.0000000          100.0000000              5.85040424764162e-03     4.64158086849276e+01     -3.24178528266478e+01    6.00991410737849e+02     
39534800.0000000         3435000.0000000          100.0000000              5.84576381949896e-03     4.64407436845342e+01     -3.16854188820758e+01    6.01523635875481e+02     
39534900.0000000         3435000.0000000          100.0000000              5.84110625819976e-03     4.67703834515475e+01     -3.11634352623683e+01    6.02277324191492e+02     
39535000.0000000         3435000.0000000          100.0000000              5.83639778420978e-03     4.74538708880948e+01     -3.07396118097760e+01    6.03162371715161e+02     
39531000.0000000         3435100.0000000          100.0000000              5.80587657878521e-03     -7.28933764923146e+01    -1.49993862488671e+01    5.82582190011200e+02     
39531100.0000000         3435100.0000000          100.0000000              5.81329758802045e-03     -7.56154692393066e+01    -1.60759860497671e+01    5.83637374861834e+02     
39531200.0000000         3435100.0000000          100.0000000              5.82101631535812e-03     -7.88395677534402e+01    -1.76614738367587e+01    5.85265842683967e+02     
39531300.0000000         3435100.0000000          100.0000000              5.82908153509771e-03     -8.25537119666695e+01    -1.99275874411140e+01    5.87519863304861e+02     
39531400.0000000         3435100.0000000          100.0000000              5.83754817947286e-03     -8.68906216509596e+01    -2.30952353464521e+01    5.90520217441218e+02     
39531500.0000000         3435100.0000000          100.0000000              5.84648193501627e-03     -9.18925396223124e+01    -2.73531215998091e+01    5.94602925018716e+02     
39531600.0000000         3435100.0000000          100.0000000              5.85594113038917e-03     -9.73260281836077e+01    -3.29077777481087e+01    6.00186190764769e+02     
