x(m)                     y(m)                     z(m)                     Magnetic_Potential       Magnetic_x(nT)           Magnetic_y(nT)           Magnetic_z(nT)           
39534800.0000000         3434800.0000000          100.0000000              -3.98909532990651e-03    -2.17668024863371e+02    2.85916659402033e+01     -3.89250170618920e+02    
39534900.0000000         3434800.0000000          100.0000000              -3.96735519774281e-03    -2.17226187060265e+02    2.87136019886222e+01     -3.91130922486762e+02    
39535000.0000000         3434800.0000000          100.0000000              -3.94563217836795e-03    -2.17320394330286e+02    2.89314317022979e+01     -3.92891496715050e+02    
39531000.0000000         3434900.0000000          100.0000000              -4.76770600675540e-03    -7.84287969186149e+01    7.29653040596519e+01     -4.91586877015429e+02    
39531100.0000000         3434900.0000000          100.0000000              -4.76008652521192e-03    -7.39557520247912e+01    8.04523997251433e+01     -4.95841992885537e+02    
39531200.0000000         3434900.0000000          100.0000000              -4.75290917600145e-03    -6.96452402067169e+01    8.92846686107839e+01     -5.01113810612115e+02    
39531300.0000000         3434900.0000000          100.0000000              -4.74614441484303e-03    -6.57261305267844e+01    9.96409939248749e+01     -5.07335612685428e+02    
39531400.0000000         3434900.0000000          100.0000000              -4.73974756288493e-03    -6.23104304004529e+01    1.11733074851773e+02     -5.14579713604296e+02    
39531500.0000000         3434900.0000000          100.0000000              -4.73365449199693e-03    -5.97424471256936e+01    1.25701053315543e+02     -5.23117551771266e+02    
39531600.0000000         3434900.0000000          100.0000000              -4.72774499965731e-03    -5.87753317447612e+01    1.41573049802801e+02     -5.32997224351855e+02    
39531700.0000000         3434900.0000000          100.0000000              -4.72182722125175e-03    -5.99879213454701e+01    1.59300183834918e+02     -5.43936605919249e+02    
39531800.0000000         3434900.0000000          100.0000000              -4.71565225902628e-03    -6.40600443129678e+01    1.78692844439628e+02     -5.55836791391413e+02    
39531900.0000000         3434900.0000000          100.0000000              -4.70888789743336e-03    -7.19473882809064e+01    1.99288644836123e+02     -5.68341866405292e+02    
39532000.0000000         3434900.0000000          100.0000000              -4.70110434016558e-03    -8.45794470556027e+01    2.20224774544428e+02     -5.80600849785200e+02    
