x(m)                     y(m)                     z(m)                     Txx(nT/m)                Tyx(nT/m)                Tzx(nT/m)                Txy(nT/m)                Tyy(nT/m)                Tzy(nT/m)                Txz(nT/m)                Tyz(nT/m)                Tzz(nT/m)                
39532000.0000000         3434800.0000000          100.0000000              -1.20521131684020e-01    6.57968900118059e-02     -1.48979747500550e-01    6.57968894076965e-02     -5.27898249630657e-02    -2.00670856792839e-01    -1.48979748619037e-01    -2.00670855800664e-01    1.73310956648582e-01     
39532100.0000000         3434800.0000000          100.0000000              -1.57445625013787e-01    4.97995462486910e-02     -1.31339268179227e-01    4.97995462545966e-02     -5.37483474718086e-02    -2.31136876261003e-01    -1.31339268171301e-01    -2.31136876265974e-01    2.11193972487968e-01     
39532200.0000000         3434800.0000000          100.0000000              -1.92112409436452e-01    2.67521870028144e-02     -1.03612457315335e-01    2.67521869864586e-02     -5.57621502519066e-02    -2.57315262822009e-01    -1.03612457336131e-01    -2.57315262806637e-01    2.47874559689289e-01     
39532300.0000000         3434800.0000000          100.0000000              -2.19827486497926e-01    -2.50176698636443e-03    -6.40123777869005e-02    -2.50176698297097e-03    -5.93173180365060e-02    -2.75960313512052e-01    -6.40123777854059e-02    -2.75960313512575e-01    2.79144804533509e-01     
39532400.0000000         3434800.0000000          100.0000000              -2.35238443898796e-01    -3.60624347163906e-02    -1.55670000702300e-02    -3.60624346371338e-02    -6.55513725733728e-02    -2.85763598304129e-01    -1.55669999763528e-02    -2.85763598318130e-01    3.00789816479127e-01     
39532500.0000000         3434800.0000000          100.0000000              -2.34259652057937e-01    -7.14309119077847e-02    3.65961433780439e-02     -7.14309119042576e-02    -7.62626047324004e-02    -2.84908387863833e-01    3.65961433844530e-02     -2.84908387863652e-01    3.10522256782383e-01     
39532600.0000000         3434800.0000000          100.0000000              -2.18842033717467e-01    -1.05726867682234e-01    8.76523551671045e-02     -1.05726867714394e-01    -9.19271367390569e-02    -2.71016956812587e-01    8.76523551366062e-02     -2.71016956797860e-01    3.10769170458438e-01     
39532700.0000000         3434800.0000000          100.0000000              -1.89809414367043e-01    -1.33940274835275e-01    1.34991185405969e-01     -1.33940274821902e-01    -1.10012659642990e-01    -2.44294731801055e-01    1.34991185422563e-01     -2.44294731805981e-01    2.99822074012324e-01     
39532800.0000000         3434800.0000000          100.0000000              -1.50254291803916e-01    -1.52533226594928e-01    1.73364713844029e-01     -1.52533226582944e-01    -1.27916191115505e-01    -2.09072237831701e-01    1.73364713857778e-01     -2.09072237830751e-01    2.78170482925430e-01     
39532900.0000000         3434800.0000000          100.0000000              -1.04581142601326e-01    -1.61610871354424e-01    2.00950359046676e-01     -1.61610871355500e-01    -1.44506301607741e-01    -1.70011968924801e-01    2.00950359042534e-01     -1.70011968922679e-01    2.49087444210145e-01     
39533000.0000000         3434800.0000000          100.0000000              -5.86999679085880e-02    -1.62602259295509e-01    2.18184847782418e-01     -1.62602259294842e-01    -1.58888766422323e-01    -1.28078585729288e-01    2.18184847782523e-01     -1.28078585728202e-01    2.17588734325965e-01     
39533100.0000000         3434800.0000000          100.0000000              -1.20744956863579e-02    -1.54804252408672e-01    2.26432489688878e-01     -1.54804252393792e-01    -1.69061367986833e-01    -8.65209642571504e-02    2.26432489709065e-01     -8.65209642500798e-02    1.81135863672669e-01     
39533200.0000000         3434800.0000000          100.0000000              3.10803620923883e-02     -1.40434687314587e-01    2.21699817182708e-01     -1.40434687308743e-01    -1.75785117133888e-01    -4.79485947414260e-02    2.21699817188611e-01     -4.79485947388310e-02    1.44704755042519e-01     
39533300.0000000         3434800.0000000          100.0000000              6.61369605895518e-02     -1.20752010893918e-01    2.08807869756463e-01     -1.20752010908532e-01    -1.78053138400720e-01    -1.25559407180728e-02    2.08807869742173e-01     -1.25559407310161e-02    1.11916177831882e-01     
39533400.0000000         3434800.0000000          100.0000000              9.31967194761523e-02     -9.70424743395427e-02    1.89598699518585e-01     -9.70424743418364e-02    -1.74728665010898e-01    1.80086033716502e-02     1.89598699514979e-01     1.80086033689773e-02     8.15319455381075e-02     
39533500.0000000         3434800.0000000          100.0000000              1.10266849114375e-01     -7.14586001495588e-02    1.65624360969312e-01     -7.14586001823239e-02    -1.66339209946428e-01    4.12678220040257e-02     1.65624360925003e-01     4.12678219710188e-02     5.60723608287542e-02     
39533600.0000000         3434800.0000000          100.0000000              1.17800070609050e-01     -4.70167540051874e-02    1.39541020908516e-01     -4.70167539896294e-02    -1.54117892658968e-01    5.72375995845826e-02     1.39541020930056e-01     5.72375996033339e-02     3.63178220572804e-02     
39533700.0000000         3434800.0000000          100.0000000              1.16875987705333e-01     -2.51467552472165e-02    1.14961384407251e-01     -2.51467552638375e-02    -1.39257339086181e-01    6.68598414750440e-02     1.14961384386869e-01     6.68598414632159e-02     2.23813513838869e-02     
39533800.0000000         3434800.0000000          100.0000000              1.10708989541153e-01     -7.17879191575353e-03    9.28289293163340e-02     -7.17879191342261e-03    -1.23390165316976e-01    7.10455593395203e-02     9.28289293181442e-02     7.10455593407028e-02     1.26811757797553e-02     
39533900.0000000         3434800.0000000          100.0000000              1.00738601007560e-01     6.50818815288554e-03     7.43034224877672e-02     6.50818818895663e-03     -1.07576066659706e-01    7.16603868243588e-02     7.43034225206562e-02     7.16603868512294e-02     6.83746565223914e-03     
39534000.0000000         3434800.0000000          100.0000000              8.92848530199888e-02     1.67992135641100e-02     5.95530244929990e-02     1.67992135824694e-02     -9.22609759711768e-02    7.01871492581085e-02     5.95530245175397e-02     7.01871492834784e-02     2.97612296202517e-03     
39534100.0000000         3434800.0000000          100.0000000              7.80311331282745e-02     2.42633046743485e-02     4.81079210532023e-02     2.42633046755266e-02     -7.78224697847732e-02    6.67312149948421e-02     4.81079210595519e-02     6.67312149908766e-02     -2.08663344364806e-04    
39534200.0000000         3434800.0000000          100.0000000              6.72415061774518e-02     2.90802315181048e-02     3.83479271059803e-02     2.90802315069577e-02     -6.48235023391445e-02    6.23930514945055e-02     3.83479270934439e-02     6.23930514769722e-02     -2.41800383833811e-03    
39534300.0000000         3434800.0000000          100.0000000              5.72457420575999e-02     3.21118949573940e-02     3.12775651605013e-02     3.21118949695082e-02     -5.33494683237562e-02    5.74089433632384e-02     3.12775651814312e-02     5.74089433760282e-02     -3.89627373910924e-03    
39534400.0000000         3434800.0000000          100.0000000              4.85171694342664e-02     3.31140499993385e-02     2.50022152046209e-02     3.31140499986066e-02     -4.35272705702992e-02    5.21150922779043e-02     2.50022152043676e-02     5.21150922738751e-02     -4.98989886407319e-03    
39534500.0000000         3434800.0000000          100.0000000              4.01911712711774e-02     3.28568905252860e-02     1.97875308969350e-02     3.28568905229849e-02     -3.52624014535026e-02    4.74500472849412e-02     1.97875308953034e-02     4.74500472796260e-02     -4.92876982348320e-03    
39534600.0000000         3434800.0000000          100.0000000              3.27054763666214e-02     3.19083110898929e-02     1.65328109637621e-02     3.19083110832772e-02     -2.83314314646114e-02    4.31436228336303e-02     1.65328109558421e-02     4.31436228234233e-02     -4.37404490431635e-03    
39534700.0000000         3434800.0000000          100.0000000              2.63559330631692e-02     3.04522463135345e-02     1.37683865964291e-02     3.04522463101465e-02     -2.25069633881521e-02    3.91454786876019e-02     1.37683865934510e-02     3.91454786788219e-02     -3.84896967813922e-03    
