x(m)                     y(m)                     z(m)                     Txx(nT/m)                Tyx(nT/m)                Tzx(nT/m)                Txy(nT/m)                Tyy(nT/m)                Tzy(nT/m)                Txz(nT/m)                Tyz(nT/m)                Tzz(nT/m)                
39534000.0000000         3434800.0000000          100.0000000              8.54295579175997e-02     -5.70626634406852e-02    -2.34598185256253e-03    -5.70626634123883e-02    -3.32022738753538e-03    5.60663755472926e-02     -2.34598181409272e-03    5.60663755854420e-02     -8.21093305217018e-02    
39534100.0000000         3434800.0000000          100.0000000              7.17645478852928e-02     -4.30262057877390e-02    -1.15032245112672e-02    -4.30262057820963e-02    -6.65921139406953e-03    5.58152235584846e-02     -1.15032244936401e-02    5.58152235556055e-02     -6.51053364950235e-02    
39534200.0000000         3434800.0000000          100.0000000              5.94416151120093e-02     -3.15853001616803e-02    -1.76610767288614e-02    -3.15853001782540e-02    -8.89311006631821e-03    5.36887904760911e-02     -1.76610767476747e-02    5.36887904505773e-02     -5.05485050424004e-02    
39534300.0000000         3434800.0000000          100.0000000              4.66031244590928e-02     -2.18305534044116e-02    -2.08300277067338e-02    -2.18305533785001e-02    -1.03842063000107e-02    5.06221188192035e-02     -2.08300276611461e-02    5.06221188437386e-02     -3.62189181579414e-02    
39534400.0000000         3434800.0000000          100.0000000              3.63879692315726e-02     -1.41902062005641e-02    -2.16189509058026e-02    -1.41902061998441e-02    -1.12443858927211e-02    4.60685699298476e-02     -2.16189509027998e-02    4.60685699255277e-02     -2.51435833400675e-02    
39534500.0000000         3434800.0000000          100.0000000              2.76890627698168e-02     -8.55808299558262e-03    -2.21800039129438e-02    -8.55808299744589e-03    -1.19353496349180e-02    4.12264606370549e-02     -2.21800039125536e-02    4.12264606309286e-02     -1.57537131315016e-02    
39534600.0000000         3434800.0000000          100.0000000              1.92938150509100e-02     -4.48782776380858e-03    -2.14254054330687e-02    -4.48782777643694e-03    -1.21310430157467e-02    3.65223877546334e-02     -2.14254054491460e-02    3.65223877362611e-02     -7.16277203480892e-03    
39534700.0000000         3434800.0000000          100.0000000              1.27552357471189e-02     -1.56798420088782e-03    -2.02237367809560e-02    -1.56798420534490e-03    -1.20110869755365e-02    3.20720982744296e-02     -2.02237367848066e-02    3.20720982622966e-02     -7.44148764222711e-04    
39534800.0000000         3434800.0000000          100.0000000              7.13156639478929e-03     4.32206260229067e-04     -1.91712115663788e-02    4.32206259668219e-04     -1.17513280542441e-02    2.81686493860075e-02     -1.91712115668372e-02    2.81686493866886e-02     4.61976165722243e-03     
39534900.0000000         3434800.0000000          100.0000000              1.67349694424402e-03     1.85722834642808e-03     -1.83249117799250e-02    1.85722834128018e-03     -1.16392485678869e-02    2.43598509332816e-02     -1.83249117857006e-02    2.43598509220160e-02     9.96575162544630e-03     
39535000.0000000         3434800.0000000          100.0000000              -3.50142192116330e-03    2.37890360324969e-03     -1.67727357844643e-02    2.37890361989444e-03     -1.15269196301827e-02    2.09741468498393e-02     -1.67727357605652e-02    2.09741468942569e-02     1.50283415531011e-02     
