x(m)                     y(m)                     z(m)                     Magnetic_Potential       Magnetic_x(nT)           Magnetic_y(nT)           Magnetic_z(nT)           
39533000.0000000         3434800.0000000          100.0000000              -8.12901117942477e-06    -3.08613138911822e+02    -2.34265741999067e+02    -1.31931289967101e+02    
39533100.0000000         3434800.0000000          100.0000000              2.29487272086936e-05     -3.12164157713857e+02    -2.50208154121867e+02    -1.09604309748483e+02    
39533200.0000000         3434800.0000000          100.0000000              5.41501717145540e-05     -3.11145363747757e+02    -2.65016769814424e+02    -8.71107441896216e+01    
39533300.0000000         3434800.0000000          100.0000000              8.50474318647612e-05     -3.06215766881404e+02    -2.78111278879563e+02    -6.55320669244186e+01    
39533400.0000000         3434800.0000000          100.0000000              1.15289607317972e-04     -2.98175275120067e+02    -2.89029384777182e+02    -4.55538308122391e+01    
39533500.0000000         3434800.0000000          100.0000000              1.44608758462636e-04     -2.87924429734698e+02    -2.97457374000031e+02    -2.77715552790004e+01    
39533600.0000000         3434800.0000000          100.0000000              1.72833087613892e-04     -2.76436527784166e+02    -3.03363512640569e+02    -1.25074854485059e+01    
39533700.0000000         3434800.0000000          100.0000000              1.99886705735209e-04     -2.64651917059280e+02    -3.06945037636644e+02    1.96719298973518e-01     
39533800.0000000         3434800.0000000          100.0000000              2.25775853513302e-04     -2.53233414286811e+02    -3.08525661694648e+02    1.05665199607784e+01     
39533900.0000000         3434800.0000000          100.0000000              2.50561380113084e-04     -2.42643885099948e+02    -3.08524738528622e+02    1.88891005946031e+01     
39534000.0000000         3434800.0000000          100.0000000              2.74340772109134e-04     -2.33135190590714e+02    -3.07336452626720e+02    2.55512903641051e+01     
39534100.0000000         3434800.0000000          100.0000000              2.97227122342011e-04     -2.24779417173769e+02    -3.05258824877001e+02    3.09145984122181e+01     
39534200.0000000         3434800.0000000          100.0000000              3.19332679257849e-04     -2.17511162784293e+02    -3.02574015704366e+02    3.52219385770925e+01     
39534300.0000000         3434800.0000000          100.0000000              3.40765332217842e-04     -2.11308455785525e+02    -2.99499420265569e+02    3.86883870484288e+01     
39534400.0000000         3434800.0000000          100.0000000              3.61624623608538e-04     -2.06023276286677e+02    -2.96222715087017e+02    4.14924419766079e+01     
39534500.0000000         3434800.0000000          100.0000000              3.81998142722431e-04     -2.01585298712862e+02    -2.92917006580083e+02    4.37222079822114e+01     
39534600.0000000         3434800.0000000          100.0000000              4.01969109894324e-04     -1.97958624014102e+02    -2.89673834102553e+02    4.55281209020592e+01     
39534700.0000000         3434800.0000000          100.0000000              4.21612161697746e-04     -1.95008345536351e+02    -2.86552167691146e+02    4.70374199691314e+01     
39534800.0000000         3434800.0000000          100.0000000              4.40991019509488e-04     -1.92663031379746e+02    -2.83594040287127e+02    4.83099994248375e+01     
39534900.0000000         3434800.0000000          100.0000000              4.60163083497431e-04     -1.90869061642499e+02    -2.80828602051423e+02    4.94059126893491e+01     
39535000.0000000         3434800.0000000          100.0000000              4.79181908642025e-04     -1.89585930414233e+02    -2.78282156212778e+02    5.04312679439657e+01     
39531000.0000000         3434900.0000000          100.0000000              -3.23843223911621e-04    -1.23490150586527e+02    -2.30617342240653e+02    -5.26070743297566e+01    
39531100.0000000         3434900.0000000          100.0000000              -3.11738746616552e-04    -1.18606826805963e+02    -2.28276653176317e+02    -5.94546923812098e+01    
39531200.0000000         3434900.0000000          100.0000000              -3.00115954596034e-04    -1.13885833867002e+02    -2.25358927788666e+02    -6.75847722834473e+01    
39531300.0000000         3434900.0000000          100.0000000              -2.88953161715888e-04    -1.09421643400484e+02    -2.21743463171576e+02    -7.70688873097055e+01    
39531400.0000000         3434900.0000000          100.0000000              -2.78217750461235e-04    -1.05391209847684e+02    -2.17344483263646e+02    -8.81751568409244e+01    
39531500.0000000         3434900.0000000          100.0000000              -2.67844322269916e-04    -1.02286038222579e+02    -2.12143114288232e+02    -1.01151296821416e+02    
39531600.0000000         3434900.0000000          100.0000000              -2.57708020429609e-04    -1.00735034638357e+02    -2.06149265599987e+02    -1.15908621883846e+02    
39531700.0000000         3434900.0000000          100.0000000              -2.47630769213851e-04    -1.01198392251184e+02    -1.99417853995043e+02    -1.32314853628184e+02    
39531800.0000000         3434900.0000000          100.0000000              -2.37377083953478e-04    -1.04400677143470e+02    -1.92172772782550e+02    -1.50216264100909e+02    
39531900.0000000         3434900.0000000          100.0000000              -2.26631139093299e-04    -1.11177806274095e+02    -1.84820796914842e+02    -1.69051899189276e+02    
39532000.0000000         3434900.0000000          100.0000000              -2.14998288273206e-04    -1.22238147944650e+02    -1.78013741537963e+02    -1.87801423151724e+02    
39532100.0000000         3434900.0000000          100.0000000              -2.02034109033334e-04    -1.37768901413794e+02    -1.72463899587611e+02    -2.05052669165604e+02    
39532200.0000000         3434900.0000000          100.0000000              -1.87299721945903e-04    -1.57633063658414e+02    -1.68890806218022e+02    -2.19685186585530e+02    
39532300.0000000         3434900.0000000          100.0000000              -1.70378062248071e-04    -1.81365732410291e+02    -1.68154507016249e+02    -2.30253694291552e+02    
39532400.0000000         3434900.0000000          100.0000000              -1.50936085482864e-04    -2.07789260946397e+02    -1.70935100826583e+02    -2.35387471650489e+02    
39532500.0000000         3434900.0000000          100.0000000              -1.28787631705039e-04    -2.35176868497645e+02    -1.77585166074865e+02    -2.34125977453984e+02    
39532600.0000000         3434900.0000000          100.0000000              -1.03935742757351e-04    -2.61521014032966e+02    -1.88096042989997e+02    -2.26191055352476e+02    
39532700.0000000         3434900.0000000          100.0000000              -7.65808261980000e-05    -2.84931884160117e+02    -2.01961180946612e+02    -2.11993065693962e+02    
39532800.0000000         3434900.0000000          100.0000000              -4.71027884964563e-05    -3.03794818391793e+02    -2.18137006892735e+02    -1.92621614492714e+02    
