x(km)             y(km)             z(km)             Txx                      Tyx                      Tzx                      Tyy                      Tzy                      Tzz                      
12.0000000        12.0000000        30.0000000        2.08679116156676e+02     6.27070153575336e+01    -1.17619102958403e+02   2.29000785999713e+02    1.64493527349248e+02    -4.37679902156389e+02   
13.0000000        13.0000000        30.0000000        1.70119018056039e+02     4.86103147141517e+01    -1.69428514002133e+02   2.33032374011660e+02    9.53058372120088e+01    -4.03151392067732e+02   
14.0000000        14.0000000        30.0000000        1.26116315495559e+02     2.82117081192448e+01    -1.97254847290514e+02   2.19945167319176e+02    3.80508032058187e+01    -3.46061482814813e+02   
15.0000000        15.0000000        30.0000000        8.48396986411429e+01     6.97342552181097e+00    -2.03701938660993e+02   1.95898751385070e+02    -3.63499396321762e+00   -2.80738450026217e+02   
16.0000000        16.0000000        30.0000000        5.07839303976341e+01     -1.13274575813852e+01   -1.94745548337043e+02   1.67002390265302e+02    -3.02671863858972e+01   -2.17786320662959e+02   
17.0000000        17.0000000        30.0000000        2.51979013183499e+01     -2.49819435845492e+01   -1.76798440230152e+02   1.37888005279372e+02    -4.47262030060979e+01   -1.63085906597714e+02   
18.0000000        18.0000000        30.0000000        7.34591211532711e+00     -3.38629337804617e+01   -1.55006646370240e+02   1.11325817666697e+02    -5.05410297905402e+01   -1.18671729782024e+02   
19.0000000        19.0000000        30.0000000        -4.31992282747782e+00    -3.86949207828154e+01   -1.32782136746543e+02   8.85404018490078e+01    -5.08475095072847e+01   -8.42204790215190e+01   
20.0000000        20.0000000        30.0000000        -1.14297805467723e+01    -4.04769664554488e+01   -1.12039439091898e+02   6.97506829561853e+01    -4.80063557619213e+01   -5.83209024094049e+01   
21.0000000        21.0000000        30.0000000        -1.53689222372816e+01    -4.01574883829146e+01   -9.36481407420400e+01   5.46429416905717e+01    -4.36137923231551e+01   -3.92740194532774e+01   
22.0000000        22.0000000        30.0000000        -1.71947518193621e+01    -3.85042175863010e+01   -7.78449786875792e+01   4.26879596763084e+01    -3.86647302964558e+01   -2.54932078569526e+01   
23.0000000        23.0000000        30.0000000        -1.76653651341404e+01    -3.60839987324882e+01   -6.45282486154968e+01   3.33191854262151e+01    -3.37343031516187e+01   -1.56538202920748e+01   
24.0000000        24.0000000        30.0000000        -1.73028720453239e+01    -3.32898114456846e+01   -5.34416346453855e+01   2.60173515702711e+01    -2.91259993533067e+01   -8.71447952495217e+00   
25.0000000        25.0000000        30.0000000        -1.64567873321369e+01    -3.03805538804708e+01   -4.42784173650788e+01   2.03414249200748e+01    -2.49771832697992e+01   -3.88463758793604e+00   
